group,item,usd,partner,phase,source,recipient_country,details,essential_phase_1,partner_comments
Administrative,Developed and printing forms/formates for data collections,"1,010.00",BNMT,2,SBU,Nepal,Developed and printing of forms/formates,,
Administrative,Procured Lab and Sputum Related Materials,"5,733.00",BNMT,2,SBU,Nepal,If required and insufficient material,,
Administrative,Procured Lab and Sputum Related Materials,"5,733.00",BNMT,3,SBU,Nepal,If required and insufficient material,,
Equipment,Procured Tablet/Mobile for data collection,288.00,BNMT,2,SBU,Nepal,Procured equipment for data collection,,
Equipment,Repair and Maintenance Microscopes and Supplies,240.50,BNMT,2,SBU,Nepal,"If required, Repair and Maintenance Microscope",,
Equipment,Repair and Maintenance Microscopes and Supplies,240.50,BNMT,3,SBU,Nepal,"If required, Repair and Maintenance Microscope",,
Equipment,Benchtop centrifuge for xtrapulm samples at Pyuthan hospital,"2,000.00",BNMT,2,SBU,Nepal,,,
Knowledge dissemination,Developed and Printing of visibility materials,457.00,BNMT,2,SBU,Nepal,Project Visibility - covers phases 2 and 3,,
Monitoring and Evaluation,Field Monitoring-Field Level Staff,"2,019.00",BNMT,2,SBU,Nepal,DSA and Travelling cost for monitoring filed for field level staff,,
Monitoring and Evaluation,Field Monitoring-Field Level Staff,"2,019.00",BNMT,3,SBU,Nepal,DSA and Travelling cost for monitoring filed for field level staff,,
Monitoring and Evaluation,Jointly Monitoring Visit With NTC/MoH/BNMT/Local Bodies/DHO,"3,245.00",BNMT,2,SBU,Nepal,DSA and Travelling cost for monitoring field for Jointly NTC/BNMT/MoH etc,,
Monitoring and Evaluation,Review Meeting at Field Stakeholders,892.00,BNMT,2,SBU,Nepal,Discussion/Sharing project achievement and collection feedback from Field Stakeholders,,
Monitoring and Evaluation,Review/Further Planning Meeting at National Stakeholders,654.00,BNMT,2,SBU,Nepal,Sharing project output and discuss further plan,,
HR,Project Manager (50% FTE),"1,442.50",BNMT,2,SBU,Nepal,Overall manage and responsible Project level,,
HR,District Co-Ordinator (100% FTE),"2,019.00",BNMT,2,SBU,Nepal,Overall manage and responsible for field avtivities and training,,
HR,LSTM-Senior TB Researcher-20% FTE,"6,000.00",BNMT,2,SBU,Nepal,Data management and responsible for Research related activites,,
HR,Office Assistant/Support Staff (100% FTE),432.50,BNMT,2,SBU,Nepal,Support day to day operation in Field Office,,
HR,Admin/Finance/Logistic Assistant (100% FTE),865.50,BNMT,2,SBU,Nepal,"Accounting and Payment, reporting and admin work and logistic management of Field office",,
HR,Executive Director (5% FTE),360.50,BNMT,2,SBU,Nepal,Responsible to Organization level,,
HR,Knowledge Management Manager (5% FTE),148.50,BNMT,2,SBU,Nepal,Responsible to Organization level (Techninal input Active Case Finding),,
HR,Finance Manager (5 % FTE),148.50,BNMT,2,SBU,Nepal,Responsible for Financial Reporting,,
HR,HR/Admin Manager (5 % FTE),148.50,BNMT,2,SBU,Nepal,Responsible for HR and Admin Function,,
HR,Project Manager (50% FTE),"1,442.50",BNMT,3,SBU,Nepal,Overall manage and responsible Project level,,
HR,District Co-Ordinator (100% FTE),"2,019.00",BNMT,3,SBU,Nepal,Overall manage and responsible for field avtivities and training,,
HR,LSTM-Senior TB Researcher-20% FTE,"6,000.00",BNMT,3,SBU,Nepal,Data management and responsible for Research related activites,,
HR,Office Assistant/Support Staff (100% FTE),432.50,BNMT,3,SBU,Nepal,Support day to day operation in Field Office,,
HR,Admin/Finance/Logistic Assistant (100% FTE),865.50,BNMT,3,SBU,Nepal,"Accounting and Payment, reporting and admin work and logistic management of Field office",,
HR,Executive Director (5% FTE),360.50,BNMT,3,SBU,Nepal,Responsible to Organization level,,
HR,Knowledge Management Manager (5% FTE),148.50,BNMT,3,SBU,Nepal,Responsible to Organization level (Techninal input Active Case Finding),,
HR,Finance Manager (5 % FTE),148.50,BNMT,3,SBU,Nepal,Responsible for Financial Reporting,,
HR,HR/Admin Manager (5 % FTE),148.50,BNMT,3,SBU,Nepal,Responsible for HR and Admin Function,,
Equipment,Equipment,"3,365.00",BNMT,2,SBU,Nepal,"Computers, printing, phones, etc.",,
Administrative,Administrative - field,"1,880.00",BNMT,2,SBU,Nepal,"Office, communication, meetings, etc.",,
Administrative,Administrative - field,"1,880.00",BNMT,3,SBU,Nepal,"Office, communication, meetings, etc.",,
Administrative,Administrative - central,"2,014.50",BNMT,2,SBU,Nepal,"Office, communication, meetings, etc.",,
Administrative,Administrative - central,"2,014.50",BNMT,3,SBU,Nepal,"Office, communication, meetings, etc.",,
Overhead,Overhead,"10,173.00",BNMT,2,SBU,Nepal,Covers both phases 2 and 3,,
HR,WeRobotics Project Manager,"9,100.00",WeRobotics,2,WeRobotics,Switzerland,20% FTE for 3 months,,
HR,WeRobotics Head of Engineering,"7,800.00",WeRobotics,2,WeRobotics,Switzerland,20% FTE for 3 months,,
HR,WeRobotics Tech Engineer/Trainer,"7,500.00",WeRobotics,2,WeRobotics,Switzerland,50% FTE for 3 months (paired with below),,
HR,WeRobotics Tech Engineer/Trainer,"5,500.00",WeRobotics,2,SBU,Switzerland,50% FTE for 3 months (paired with above),,
HR,WeRobotics Hardware/Software Developer,"6,000.00",WeRobotics,2,WeRobotics,Switzerland,40% FTE for 3 months (paired with below),,
HR,WeRobotics Hardware/Software Developer,"1,800.00",WeRobotics,2,SBU,Switzerland,40% FTE for 3 months (paired with above),,
HR,WeRobotics HR taxes and benefits,"7,600.00",WeRobotics,2,WeRobotics,Switzerland,,,
HR,WeRobotics HR taxes and benefits,"1,825.00",WeRobotics,2,SBU,Switzerland,,,
HR,NFL Coordinator,"1,500.00",WeRobotics,2,WeRobotics,Nepal,"50% FTE for 3 months; coordinate project, hire and train pilots, supervise PM",,
HR,WeRobotics Project Manager,"9,100.00",WeRobotics,3,WeRobotics,Switzerland,20% FTE for 3 months,,
HR,WeRobotics Head of Engineering,"7,800.00",WeRobotics,3,WeRobotics,Switzerland,20% FTE for 3 months,,
HR,WeRobotics Tech Engineer/Trainer,"7,500.00",WeRobotics,3,WeRobotics,Switzerland,50% FTE for 3 months (paired with below),,
HR,WeRobotics Tech Engineer/Trainer,"5,500.00",WeRobotics,3,SBU,Switzerland,50% FTE for 3 months (paired with above),,
HR,WeRobotics Hardware/Software Developer,"6,000.00",WeRobotics,3,WeRobotics,Switzerland,40% FTE for 3 months (paired with below),,
HR,WeRobotics Hardware/Software Developer,"1,800.00",WeRobotics,3,SBU,Switzerland,40% FTE for 3 months (paired with above),,
HR,WeRobotics HR taxes and benefits,"7,600.00",WeRobotics,3,WeRobotics,Switzerland,,,
HR,WeRobotics HR taxes and benefits,"1,825.00",WeRobotics,3,SBU,Switzerland,,,
HR,NFL Coordinator,"1,500.00",WeRobotics,3,WeRobotics,Nepal,"50% FTE for 3 months; coordinate project, hire and train pilots, supervise PM",,
HR,NFL Project Manager,"1,200.00",WeRobotics,1,WeRobotics,Nepal,"50% FTE for 4 months; communicate with all govt stakeholders, secure legal permissions, project documentation, legal aspects",,
HR,NFL Project Manager,900.00,WeRobotics,2,WeRobotics,Nepal,"50% FTE for 3 months; communicate with all govt stakeholders, secure legal permissions, project documentation, legal aspects",,
HR,NFL Local Drone Pilots,"4,800.00",WeRobotics,2,SBU,Nepal,100% FTE x 2 people for 3 months; fly drones in the field,,
HR,NFL Drone mechanic,900.00,WeRobotics,2,SBU,Nepal,0.5 FTE for 3 months; gets dispatched 1/month as needed,,
Administrative,"NFL office space, materials, outreach",500.00,WeRobotics,2,SBU,Nepal,,,
HR,NFL Project Manager,900.00,WeRobotics,3,WeRobotics,Nepal,"50% FTE for 3 months; communicate with all govt stakeholders, secure legal permissions, project documentation, legal aspects",,
HR,NFL Local Drone Pilots,"4,800.00",WeRobotics,3,SBU,Nepal,100% FTE x 2 people for 3 months; fly drones in the field,,
HR,NFL Drone mechanic,900.00,WeRobotics,3,SBU,Nepal,0.5 FTE for 3 months; gets dispatched 1/month as needed,,
Administrative,"NFL office space, materials, outreach",500.00,WeRobotics,3,SBU,Nepal,,,
Equipment,"Cargo drone M100 (3 for Nepal, 1 for HQ for SOP repair support)","13,200.00",WeRobotics,2,SBU,Nepal,,,
Equipment,3 Cargo drone sensor module,"3,000.00",WeRobotics,2,SBU,Nepal,,,
Equipment,2 Cargo drone parachutes,"2,000.00",WeRobotics,2,SBU,Nepal,,,
Equipment,16 Drone batteries (TB47D),"3,200.00",WeRobotics,2,SBU,Nepal,"1 per village, 4 at hospital",,
Equipment,4 x Drone dual battery kit,560.00,WeRobotics,2,SBU,Nepal,,,
Equipment,1 Multi battery chargers,300.00,WeRobotics,2,SBU,Nepal,,,
Equipment,8 x Single battery chargers,"1,200.00",WeRobotics,2,SBU,Nepal,,,
Equipment,2 Laptops (rental) for 6 months,"1,000.00",WeRobotics,2,SBU,Nepal,,,
Equipment,12 Tablets,"3,000.00",WeRobotics,2,SBU,Nepal,0,,
Equipment,"Maintenance tools, spare parts","4,000.00",WeRobotics,2,SBU,Nepal,,,
Equipment,15 RFD900 radio link modules,"1,500.00",WeRobotics,2,SBU,Nepal,,,
Equipment,1 BeagleBone onboard computer,100.00,WeRobotics,2,SBU,Nepal,,,
Equipment,12 RadioControls,600.00,WeRobotics,2,SBU,Nepal,,,
Equipment,12 x Power supply,600.00,WeRobotics,2,SBU,Nepal,,,
Equipment,Electronics development,600.00,WeRobotics,2,SBU,Nepal,"100 per month, for boomerang solution",,
Equipment,Mechanics development,600.00,WeRobotics,2,SBU,Nepal,"100 per month, for boomerang solution",,
Travel and logistics,WeRobotics Accomodation,"2,800.00",WeRobotics,2,SBU,Nepal,"2 people, 2 weeks each (ideally would be 3)",,
Travel and logistics,WeRobotics Per Diem - International,"2,100.00",WeRobotics,2,SBU,Nepal,"2 people, 2 weeks each",,
Travel and logistics,WeRobotics International Flights,"6,000.00",WeRobotics,2,SBU,Nepal,,,
Travel and logistics,WeRobotics/NFL Local Flights and transportation,"3,750.00",WeRobotics,2,SBU,Nepal,"Travel to/from Kathmandu for the pilots, and NFL's Coordinator/Project Manager",,
Travel and logistics,WeRobotics/NFL Per Diem - Nepal staff,"10,800.00",WeRobotics,2,SBU,Nepal,2 pilots for 3 months,,
Administrative,"Shipping of drones, equipment","1,000.00",WeRobotics,2,SBU,Nepal,,,
Administrative,Duties and taxes,"3,000.00",WeRobotics,2,SBU,Nepal,,,
Administrative,Insurance,"1,000.00",WeRobotics,2,SBU,Nepal,,,
Overhead,Overhead,"14,334.00",WeRobotics,2,SBU,Nepal,,,
Overhead,Overhead,"12,300.00",WeRobotics,2,WeRobotics,Nepal,,,
HR,Manager salary,"15,000.00",SBU,0,SBU,USA,0.5 FTE for 6 months (Mar-Aug 2018),,
HR,Manager salary,"30,000.00",SBU,1,SBU,USA,1 FTE for 6 months (Sep 2018-Feb 2019),,
HR,Manager salary,"20,000.00",SBU,2,SBU,USA,1 FTE for 4 months (March-Jun 2019),,
HR,Manager salary,"22,500.00",SBU,3,SBU,USA,"0.5 FTE for 9 months (July 2019 - Mar 2020); phase 3 + transition, etc",,
HR,Manager insurance,"1,000.00",SBU,1,SBU,USA,,,
HR,Manager insurance,"1,000.00",SBU,2,SBU,USA,,,
HR,Manager insurance,"1,000.00",SBU,3,SBU,USA,,,
Travel and logistics,Manager exploratory and meeting trips,"2,000.00",SBU,0,SBU,USA,,,
Travel and logistics,Manager exploratory and meeting trips,"3,000.00",SBU,1,SBU,USA,,,
Travel and logistics,Manager moving/installation,"4,500.00",SBU,1,SBU,USA,,,
Travel and logistics,Manager on-site transportation,"2,400.00",SBU,1,SBU,Nepal,Estimated 800 per month for 3 months,,
Travel and logistics,Manager on-site transportation,"2,400.00",SBU,2,SBU,Nepal,Estimated 800 per month 3 months,,
Travel and logistics,Manager on-site transportation,"2,400.00",SBU,3,SBU,Nepal,Estimated 800 per month 3 months,,
Travel and logistics,Manager lodging,"1,500.00",SBU,1,SBU,Nepal,Estimated 500 per month for 3 months,,
Travel and logistics,Manager lodging,"1,500.00",SBU,2,SBU,Nepal,Estimated 500 per month for 3 months,,
Travel and logistics,Manager lodging,"1,500.00",SBU,3,SBU,Nepal,Estimated 500 per month for 3 months,,
Administrative,Project office in Pyuthan (to be shared by all collaborators),600.00,SBU,1,SBU,Nepal,Estimated 200 per month for 3 months,,
Administrative,Project office in Pyuthan (to be shared by all collaborators),600.00,SBU,2,SBU,Nepal,Estimated 200 per month for 3 months,,
Administrative,Project office in Pyuthan (to be shared by all collaborators),600.00,SBU,3,SBU,Nepal,Estimated 200 per month for 3 months,,
Overhead,Overhead,900.00,SBU,1,SBU,Nepal,300 per month for 3 months ; Manager admin and overhead,,
Overhead,Overhead,900.00,SBU,2,SBU,Nepal,300 per month for 3 months; Manager admin and overhead,,
Overhead,Overhead,900.00,SBU,3,SBU,Nepal,300 per month for 3 months; Manager admin and overhead,,
Knowledge dissemination,"Videography, photography, documentation, website","1,500.00",SBU,2,SBU,Nepal,,,
Knowledge dissemination,"Publication costs, consulting, website, article redaction, posters, conferences","1,500.00",SBU,2,SBU,Nepal,,,
Knowledge dissemination,"Publication costs, consulting, website, article redaction, posters, conferences","1,500.00",SBU,3,SBU,Nepal,,,
Travel and logistics,Visit from Madagascar team lead to Nepal team,"1,000.00",SBU,1,SBU,Madagascar,Expenses related to Simon's consulting visit,,
Travel and logistics,Visit from Nepal manager to Madagascar,0.00,SBU,1,SBU,Nepal,Removed due to budget constraints,,
Equipment,100xEvrimed,0.00,SBU,1,SBU,Nepal,Donated by WisePill,,
Equipment,Evrimed data monitoring,900.00,SBU,1,SBU,Nepal,"evrimed server fees, etc.",,
Equipment,Procured GeneXpert Machine,"38,472.00",SBU,1,SBU,Nepal,One GeneXpert Machine + 12 months cartridges,,
Equipment,GeneXpert import fees,"5,000.00",SBU,1,SBU,Nepal,,,
Equipment,Motorbike,"2,500.00",SBU,2,SBU,Nepal,"1500 + 1000 gas/maintenance; For in-district transport, remote drone take-off, health post supply support, etc.",,
Software,Mobile app development consultancy fees,"3,000.00",SBU,1,SBU,Nepal,,,
Equipment,6 x DJI tello for education/awards,600.00,SBU,2,SBU,Nepal,,,
HR,Consultancy fee for anthro/social science evaluation,0.00,SBU,2,SBU,Nepal,"10000; Qualitative evaluation consultancy; covers travel, on-site expenses, etc.",,
Overhead,Overhead,"65,025.00",SBU,0,SBU,USA,Stony Brook overhead,,
